STATUS | wrapper  | 2015/07/28 15:52:57 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: setDatabaseName(0,lemon)
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: checkRunning(false) entered
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: checkRunning(false) exited
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: setDatabasePath(0,./data/database/lemon)
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: checkRunning(false) entered
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: checkRunning(false) exited
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: setPort(9000)
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: [Thread[WrapperSimpleAppMain,5,main]]: setSilent(true)
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: Initiating startup sequence...
INFO   | jvm 1    | 2015/07/28 15:53:04 | [Server@1c3b6dbd]: Server socket opened successfully in 10 ms.
INFO   | jvm 1    | 2015/07/28 15:53:05 | [Server@1c3b6dbd]: Database [index=0, id=0, db=file:./data/database/lemon, alias=lemon] opened sucessfully in 400 ms.
INFO   | jvm 1    | 2015/07/28 15:53:05 | [Server@1c3b6dbd]: Startup sequence completed in 410 ms.
INFO   | jvm 1    | 2015/07/28 15:53:05 | [Server@1c3b6dbd]: 2015-07-28 15:53:05.338 HSQLDB server 2.3.2 is online on port 9000
INFO   | jvm 1    | 2015/07/28 15:53:05 | [Server@1c3b6dbd]: To close normally, connect and execute SHUTDOWN SQL
INFO   | jvm 1    | 2015/07/28 15:53:05 | [Server@1c3b6dbd]: From command line, use [Ctrl]+[C] to abort abruptly
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,328  INFO [WrapperSimpleAppMain] com.mossle.core.dbmigrate.DatabaseMigrator:64 - migrate : SCHEMA_VERSION_AUDIT, dbmigrate.h2.audit
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,458  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.dbsupport.DbSupportFactory:43 - Database: jdbc:hsqldb:hsql://localhost:9000/lemon (HSQL Database Engine 2.3)
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,509  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbValidate:43 - Validated 2 migrations (execution time 00:00.041s)
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,550  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.metadatatable.MetaDataTableImpl:43 - Creating Metadata table: "PUBLIC"."SCHEMA_VERSION_AUDIT"
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,580  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Current version of schema "PUBLIC": << Empty Schema >>
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,590  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.1
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,630  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.2
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,670  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Successfully applied 2 migrations to schema "PUBLIC" (execution time 00:00.120s).
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,680  INFO [WrapperSimpleAppMain] com.mossle.core.dbmigrate.DatabaseMigrator:64 - migrate : SCHEMA_VERSION_DATA_AUDIT, dbmigrate.h2.data_audit
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,690  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.dbsupport.DbSupportFactory:43 - Database: jdbc:hsqldb:hsql://localhost:9000/lemon (HSQL Database Engine 2.3)
